ID,NAZIV,ADRESA,ID_GRAD
67004,ANDREA MIKULČIĆ,VLADIMIRA NAZORA 52,37004
68000,OB POŽEGA,OSJEČKA 103,38000
68002,OB PAKRAC,BOLNIČKA 68,38003
68003,CIGLENEČKI,SLAVONSKA 30,38004
69001,LJEKARNE VINKOVIĆ,OSJEČKA ULICA 125,39000
69002,LJEKARNE ZUBOVIĆ,RELKOVIĆEVA 32,39001
69003,LJEKARNE RAJIĆ 2,TRG KRALJA TOMISLAVA 7,39002
69004,MATE KNEZOVIĆ,TRG KRALJA TOMISLAVA 2,39003
70000,"MIRJANA KOVAČ, MARIJA DRAKULIĆ",DOBRIŠE CESARIĆA 5,40000
70001,LJEKARNE POČUČA,SV. MARTIN NA MURI 117,40001
70002,LJEKARNA DONJI KRALJEVEC,ČAKOVEČKA 3,40003
71001,CENTRALNA,KOLODVORSKA 18,41000
71002,BOLNICA VARAŽDINSKE TOPLICE,TRG SLOBODE 1,41005
71003,LIDIJA ŽULIĆ,TRG KRALJA TOMISLAVA 8,41009
72000,FARMACIA,MIHANOVIĆEVA 8,42000
72001,BERRY 2,"TRG KRALJA TOMISLAVA 8, VELIKI ZDENCI",42004
73000,GRADSKE LJEKARNE SISAK,RIMSKA 1,43000
73002,FARMACIA,AUGUSTA ŠENOE 3,43002
73003,LJEKARNE ŽUPANČIĆ,ZAGREBAČKA 49,43003
73004,LJEKARNE BARIŠIĆ,KOLODVORSKA BB,43004
74000,KARLOVAČKE LJEKARNE,BOLNIČKA 2,44000
74001,FARMACIA,KREŠIMIROVA ULICA 8,44001
74002,KARLOVAČKE LJEKARNE,BRAĆE RADIĆA 13,44002
74003,DELTIS PHARM,BANA JELAČIĆA 31,44003
74004,NIVES PERAŠIN,KURILOVAC 8 A,44004
74005,OB OGULIN,BOLNIČKA 38,44005
75000,DELTIS PHARM,OPATIČKA 5,45000
75002,LJEKARNA KRIŽEVCI,PETRA ZRINSKOG 1,45002
76000,LJEKARNA KRAPINA,MAGISTARSKA 11,46000
76001,ZUBIĆ,MATIJE GUPCA 39,46001
76002,LJEKARNA DESINIĆ,TABORGRADSKA 8,46002
77001,LJEKARNE RIJEKA,ISTARSKA 6,47000
77002,MARIJA KOVAČ,CESTA DALMATINSKIH BRIGADA 30B,47001
77003,LJEKARNE JADRAN,KORZO HRVATSKIH BRANITELJA 17,47002
77004,LJEKARNE DELTIS PHARM,BRAĆE BROZIČEVIĆ 6,47003
77005,LJEKARNE KUŠEN,PALIT 144,47005
77006,"TOMAC, JAKUPEK, POJER IVANČIĆ",SUPILOVA 45,47006
77007,NAĐA DUMANJIĆ,MARŠALA TITA 2,47008
77008,JADRAN,ŠETALIŠTE MARŠALA TITA 46,47009
77010,LJEKARNE JADRAN,TRG FRANE PETRIĆA 4,47017
78000,LJEKARNE RADOŠ,25. RUJNA BR. 42,48000
78001,ISTARSKE LJEKARNE,GIARDINI 14,48001
78003,LJEKARNE BLITVA,VALBRUNA 2,48003
78006,LJEKARNE VITA,KANDLEROVA 1,48009
78007,LJEKARNE ŠKOKO,TRGOVAČKA 3,48012
79000,DZ GOSPIĆ,KANIŠKA 6,49000
79001,DZ OTOČAC,VLADIMIRA NAZORA 21,49002
79002,INGRID TOMLJANOVIĆ,OBALA KRALJA ZVONIMIRA 4,49005
79003,ŠVALJEK,TRG FRANJE TUĐMANA 1,49006
